Year,Genres
2005,"['Comedia', 'Drama', 'Crimen', 'Drama', 'Historia', 'Comedia', 'Drama', 'Romance', 'Crimen', 'Drama', 'Suspense', 'Biografía', 'Drama', 'Historia', 'Comedia', 'Drama', 'Drama', 'Historia', 'Bélico', 'Biografía', 'Drama', 'Historia', 'Drama', 'Romance', 'Aventura', 'Comedia', 'Fantasía']"
2006,"['Biografía', 'Drama', 'Drama', 'Deporte', 'Biografía', 'Drama', 'Música', 'Comedia', 'Drama', 'Romance', 'Biografía', 'Drama', 'Familiar']"
2007,"['Drama', 'Romance', 'Biografía', 'Drama', 'Historia', 'Acción', 'Drama', 'Historia', 'Crimen', 'Drama', 'Suspense', 'Biografía', 'Crimen', 'Drama']"
2008,"['Crimen', 'Drama', 'Suspense', 'Drama', 'Comedia', 'Drama', 'Acción', 'Aventura', 'Drama', 'Biografía', 'Drama']"
2009,"['Comedia', 'Drama', 'Crimen', 'Drama', 'Suspense', 'Drama', 'Misterio', 'Romance', 'Crimen', 'Drama', 'Misterio', 'Drama']"
2010,"['Crimen', 'Drama', 'Romance', 'Biografía', 'Drama', 'Historia', 'Drama', 'Misterio', 'Romance', 'Drama', 'Fantasía', 'Romance', 'Biografía', 'Drama', 'Historia']"
2011,"['Drama', 'Acción', 'Ciencia ficción', 'Suspense', 'Comedia', 'Drama', 'Romance', 'Animación', 'Aventura', 'Comedia', 'Comedia', 'Drama', 'Aventura', 'Drama', 'Bélico', 'Biografía', 'Drama', 'Deporte', 'Drama', 'Suspense', 'Bélico', 'Drama', 'Acción', 'Aventura', 'Fantasía']"
2012,"['Comedia', 'Drama', 'Romance', 'Biografía', 'Drama', 'Animación', 'Aventura', 'Comedia', 'Acción', 'Biografía', 'Drama', 'Drama', 'Suspense', 'Biografía', 'Drama', 'Historia', 'Drama', 'Del oeste', 'Biografía', 'Drama', 'Acción', 'Aventura', 'Ciencia ficción', 'Drama', 'Misterio']"
2013,"['Drama', 'Fantasía', 'Drama', 'Comedia', 'Drama', 'Aventura', 'Drama', 'Familiar', 'Acción', 'Aventura', 'Drama', 'Comedia', 'Fantasía', 'Romance', 'Comedia', 'Drama', 'Romance', 'Biografía', 'Drama', 'Deporte', 'Aventura', 'Drama', 'Misterio']"
2014,"['Aventura', 'Drama', 'Fantasía', 'Drama', 'Historia', 'Suspense', 'Drama', 'Musical', 'Romance', 'Drama', 'Biografía', 'Drama', 'Historia', 'Drama', 'Del oeste', 'Biografía', 'Drama', 'Historia', 'Comedia', 'Drama', 'Romance', 'Aventura', 'Drama', 'Fantasía']"
2015,"['Biografía', 'Drama', 'Historia', 'Drama', 'Romance', 'Ciencia ficción', 'Crimen', 'Drama', 'Acción', 'Biografía', 'Crimen', 'Biografía', 'Drama', 'Biografía', 'Comedia', 'Drama', 'Biografía', 'Comedia', 'Crimen', 'Drama', 'Drama', 'Ciencia ficción', 'Suspense']"
2016,"['Drama', 'Comedia', 'Drama', 'Biografía', 'Drama', 'Historia', 'Drama', 'Música', 'Biografía', 'Drama', 'Romance', 'Acción', 'Biografía', 'Drama', 'Biografía', 'Drama', 'Suspense', 'Aventura', 'Comedia', 'Crimen']"
2017,"['Acción', 'Aventura', 'Ciencia ficción', 'Biografía', 'Comedia', 'Drama', 'Aventura', 'Drama', 'Ciencia ficción', 'Drama', 'Historia', 'Suspense', 'Drama', 'Suspense', 'Biografía', 'Crimen', 'Drama', 'Acción', 'Aventura', 'Drama', 'Drama', 'Romance']"
2018,"['Drama', 'Misterio', 'Ciencia ficción', 'Biografía', 'Drama', 'Historia', 'Drama', 'Biografía', 'Drama', 'Historia', 'Biografía', 'Drama', 'Comedia', 'Drama', 'Música', 'Crimen', 'Drama', 'Suspense', 'Drama', 'Drama']"
2019,"['Drama', 'Romance', 'Drama', 'Fantasía', 'Romance', 'Biografía', 'Drama', 'Historia', 'Comedia', 'Drama', 'Drama', 'Romance', 'Acción', 'Drama', 'Historia', 'Comedia', 'Crimen', 'Drama', 'Terror', 'Misterio', 'Suspense', 'Drama', 'Bélico']"
2020,"['Acción', 'Aventura', 'Ciencia ficción', 'Drama', 'Música', 'Romance', 'Biografía', 'Drama', 'Música', 'Drama', 'Biografía', 'Comedia', 'Drama', 'Biografía', 'Comedia', 'Drama', 'Biografía', 'Comedia', 'Crimen', 'Biografía', 'Comedia', 'Drama']"
2021,"['Drama', 'Romance', 'Crimen', 'Drama', 'Suspense', 'Acción', 'Drama', 'Bélico', 'Drama', 'Romance', 'Biografía', 'Crimen', 'Drama', 'Comedia', 'Drama', 'Bélico', 'Comedia', 'Drama', 'Acción', 'Biografía', 'Drama', 'Drama', 'Suspense']"
2022,"['Biografía', 'Comedia', 'Drama', 'Crimen', 'Drama', 'Misterio', 'Drama', 'Biografía', 'Drama', 'Historia', 'Drama', 'Misterio', 'Drama', 'Música', 'Drama', 'Drama', 'Historia', 'Suspense']"
2023,"['Comedia', 'Drama', 'Romance', 'Drama', 'Crimen', 'Drama', 'Musical', 'Crimen', 'Drama', 'Suspense', 'Biografía', 'Drama', 'Romance', 'Drama', 'Del oeste', 'Biografía', 'Drama', 'Deporte', 'Comedia', 'Drama', 'Música', 'Acción', 'Aventura', 'Drama', 'Comedia', 'Drama', 'Ciencia ficción']"
2024,"['Acción', 'Aventura', 'Fantasía', 'Drama', 'Comedia', 'Drama', 'Drama', 'Música', 'Acción', 'Drama', 'Comedia', 'Drama', 'Acción', 'Drama', 'Bélico', 'Biografía', 'Drama', 'Música', 'Drama', 'Acción', 'Aventura', 'Comedia']"
