Date,Title,Genres
"Apr 05, 2024",Monkey Man (2024),"['Action', 'Thriller', 'Pitobash', 'Horror', 'Drama', 'Comedy', 'Comedy']"
"Apr 05, 2024",The First Omen (2024),"['Action', 'Thriller', 'Pitobash', 'Horror', 'Drama', 'Comedy', 'Comedy']"
"Apr 05, 2024",Io Capitano (2023),"['Action', 'Thriller', 'Pitobash', 'Horror', 'Drama', 'Comedy', 'Comedy']"
"Apr 05, 2024",Seize Them! (2024),"['Action', 'Thriller', 'Pitobash', 'Horror', 'Drama', 'Comedy', 'Comedy']"
"Apr 05, 2024",The Trouble with Jessica (2023),"['Action', 'Thriller', 'Pitobash', 'Horror', 'Drama', 'Comedy', 'Comedy']"
"Apr 12, 2024",Civil War (2024),"['Action', 'Biography', 'Drama', 'Music', 'Action', 'Horror', 'Thriller', 'Drama']"
"Apr 12, 2024",Back to Black (2024),"['Action', 'Biography', 'Drama', 'Music', 'Action', 'Horror', 'Thriller', 'Drama']"
"Apr 12, 2024",Arcadian (2024),"['Action', 'Biography', 'Drama', 'Music', 'Action', 'Horror', 'Thriller', 'Drama']"
"Apr 12, 2024",Bleeding Love (2023),"['Action', 'Biography', 'Drama', 'Music', 'Action', 'Horror', 'Thriller', 'Drama']"
"Apr 16, 2024",John Singer Sargent: Fashion and Swagger (2024),['Documentary']
"Apr 19, 2024",Abigail (2024),"['Horror', 'Thriller', 'Adventure', 'Comedy', 'Drama', 'Biography', 'Drama', 'History', 'Maïwenn', 'Comedy', 'Animation', 'Action', 'Adventure', 'RuPaul', 'Animation', 'Adventure', 'Family', 'Documentary']"
"Apr 19, 2024",The Book of Clarence (2023),"['Horror', 'Thriller', 'Adventure', 'Comedy', 'Drama', 'Biography', 'Drama', 'History', 'Maïwenn', 'Comedy', 'Animation', 'Action', 'Adventure', 'RuPaul', 'Animation', 'Adventure', 'Family', 'Documentary']"
"Apr 19, 2024",Jeanne du Barry (2023),"['Horror', 'Thriller', 'Adventure', 'Comedy', 'Drama', 'Biography', 'Drama', 'History', 'Maïwenn', 'Comedy', 'Animation', 'Action', 'Adventure', 'RuPaul', 'Animation', 'Adventure', 'Family', 'Documentary']"
"Apr 19, 2024",Swede Caroline (2024),"['Horror', 'Thriller', 'Adventure', 'Comedy', 'Drama', 'Biography', 'Drama', 'History', 'Maïwenn', 'Comedy', 'Animation', 'Action', 'Adventure', 'RuPaul', 'Animation', 'Adventure', 'Family', 'Documentary']"
"Apr 19, 2024",Hitpig (2024),"['Horror', 'Thriller', 'Adventure', 'Comedy', 'Drama', 'Biography', 'Drama', 'History', 'Maïwenn', 'Comedy', 'Animation', 'Action', 'Adventure', 'RuPaul', 'Animation', 'Adventure', 'Family', 'Documentary']"
"Apr 19, 2024",Butterfly Tale (2023),"['Horror', 'Thriller', 'Adventure', 'Comedy', 'Drama', 'Biography', 'Drama', 'History', 'Maïwenn', 'Comedy', 'Animation', 'Action', 'Adventure', 'RuPaul', 'Animation', 'Adventure', 'Family', 'Documentary']"
"Apr 19, 2024",Much Ado About Dying (2022),"['Horror', 'Thriller', 'Adventure', 'Comedy', 'Drama', 'Biography', 'Drama', 'History', 'Maïwenn', 'Comedy', 'Animation', 'Action', 'Adventure', 'RuPaul', 'Animation', 'Adventure', 'Family', 'Documentary']"
"Apr 23, 2024",National Theatre Live: Nye (2024),"['Biography', 'Comedy', 'Drama']"
"Apr 26, 2024",Ordinary Angels (2024),"['Drama', 'Drama', 'Romance', 'Sport', 'Zendaya', 'Comedy', 'Fantasy', 'Action', 'Thriller', 'Sci-Fi', 'Thriller', 'Comedy', 'Drama', 'Documentary']"
"Apr 26, 2024",Challengers (2024),"['Drama', 'Drama', 'Romance', 'Sport', 'Zendaya', 'Comedy', 'Fantasy', 'Action', 'Thriller', 'Sci-Fi', 'Thriller', 'Comedy', 'Drama', 'Documentary']"
"Apr 26, 2024",The American Society of Magical Negroes (2024),"['Drama', 'Drama', 'Romance', 'Sport', 'Zendaya', 'Comedy', 'Fantasy', 'Action', 'Thriller', 'Sci-Fi', 'Thriller', 'Comedy', 'Drama', 'Documentary']"
"Apr 26, 2024",Boy Kills World (2023),"['Drama', 'Drama', 'Romance', 'Sport', 'Zendaya', 'Comedy', 'Fantasy', 'Action', 'Thriller', 'Sci-Fi', 'Thriller', 'Comedy', 'Drama', 'Documentary']"
"Apr 26, 2024",I.S.S. (2023),"['Drama', 'Drama', 'Romance', 'Sport', 'Zendaya', 'Comedy', 'Fantasy', 'Action', 'Thriller', 'Sci-Fi', 'Thriller', 'Comedy', 'Drama', 'Documentary']"
"Apr 26, 2024",There's Still Tomorrow (2023),"['Drama', 'Drama', 'Romance', 'Sport', 'Zendaya', 'Comedy', 'Fantasy', 'Action', 'Thriller', 'Sci-Fi', 'Thriller', 'Comedy', 'Drama', 'Documentary']"
"Apr 26, 2024",Quintessentially Irish (2024),"['Drama', 'Drama', 'Romance', 'Sport', 'Zendaya', 'Comedy', 'Fantasy', 'Action', 'Thriller', 'Sci-Fi', 'Thriller', 'Comedy', 'Drama', 'Documentary']"
"May 02, 2024",The Fall Guy (2024),"['Action', 'Comedy', 'Drama']"
"May 03, 2024",Love Lies Bleeding (2024),"['Action', 'Adventure', 'Crime', 'Horror', 'Thriller', 'Horror', 'Avantika', 'Documentary']"
"May 03, 2024",Sting (2024),"['Action', 'Adventure', 'Crime', 'Horror', 'Thriller', 'Horror', 'Avantika', 'Documentary']"
"May 03, 2024",Tarot (2024),"['Action', 'Adventure', 'Crime', 'Horror', 'Thriller', 'Horror', 'Avantika', 'Documentary']"
"May 03, 2024",Red Herring (2023),"['Action', 'Adventure', 'Crime', 'Horror', 'Thriller', 'Horror', 'Avantika', 'Documentary']"
"May 10, 2024",Kingdom of the Planet of the Apes (2024),"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Fantasy', 'Documentary']"
"May 10, 2024",La Chimera (2023),"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Fantasy', 'Documentary']"
"May 10, 2024",Made in England: The Films of Powell and Pressburger (2024),"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Fantasy', 'Documentary']"
"May 17, 2024",IF (2024),"['Comedy', 'Drama', 'Family', 'Horror', 'Mystery', 'Thriller', 'Horror', 'Drama', 'Drama']"
