Date,Title,Genres
05 abr 2024,La primera profecía (2024),"['Terror', 'Comedia', 'Crimen', 'Drama', 'Acción', 'Comedia', 'Animación', 'Biografía', 'Drama', 'Animación', 'Aventura', 'Drama', 'Aventura', 'Comedia', 'Drama']"
05 abr 2024,Pequeñas cartas indiscretas (2023),"['Terror', 'Comedia', 'Crimen', 'Drama', 'Acción', 'Comedia', 'Animación', 'Biografía', 'Drama', 'Animación', 'Aventura', 'Drama', 'Aventura', 'Comedia', 'Drama']"
05 abr 2024,Freelance (2023),"['Terror', 'Comedia', 'Crimen', 'Drama', 'Acción', 'Comedia', 'Animación', 'Biografía', 'Drama', 'Animación', 'Aventura', 'Drama', 'Aventura', 'Comedia', 'Drama']"
05 abr 2024,Johnny Puff. Misión secreta (2024),"['Terror', 'Comedia', 'Crimen', 'Drama', 'Acción', 'Comedia', 'Animación', 'Biografía', 'Drama', 'Animación', 'Aventura', 'Drama', 'Aventura', 'Comedia', 'Drama']"
05 abr 2024,El consentimento (2023),"['Terror', 'Comedia', 'Crimen', 'Drama', 'Acción', 'Comedia', 'Animación', 'Biografía', 'Drama', 'Animación', 'Aventura', 'Drama', 'Aventura', 'Comedia', 'Drama']"
05 abr 2024,El castillo a través del espejo (2022),"['Terror', 'Comedia', 'Crimen', 'Drama', 'Acción', 'Comedia', 'Animación', 'Biografía', 'Drama', 'Animación', 'Aventura', 'Drama', 'Aventura', 'Comedia', 'Drama']"
05 abr 2024,Pájaros (2024),"['Terror', 'Comedia', 'Crimen', 'Drama', 'Acción', 'Comedia', 'Animación', 'Biografía', 'Drama', 'Animación', 'Aventura', 'Drama', 'Aventura', 'Comedia', 'Drama']"
12 abr 2024,Sangre en los labios (2024),"['Acción', 'Aventura', 'Crimen', 'Acción', 'Suspense', 'Pitobash', 'Aventura', 'Comedia', 'Fantasía', 'Comedia', 'Drama', 'Comedia', 'Drama', 'Drama', 'Suspense', 'Documental', 'Terror', 'Suspense']"
12 abr 2024,Monkey Man (2024),"['Acción', 'Aventura', 'Crimen', 'Acción', 'Suspense', 'Pitobash', 'Aventura', 'Comedia', 'Fantasía', 'Comedia', 'Drama', 'Comedia', 'Drama', 'Drama', 'Suspense', 'Documental', 'Terror', 'Suspense']"
12 abr 2024,La quimera (2023),"['Acción', 'Aventura', 'Crimen', 'Acción', 'Suspense', 'Pitobash', 'Aventura', 'Comedia', 'Fantasía', 'Comedia', 'Drama', 'Comedia', 'Drama', 'Drama', 'Suspense', 'Documental', 'Terror', 'Suspense']"
12 abr 2024,Iria y los hombres (2023),"['Acción', 'Aventura', 'Crimen', 'Acción', 'Suspense', 'Pitobash', 'Aventura', 'Comedia', 'Fantasía', 'Comedia', 'Drama', 'Comedia', 'Drama', 'Drama', 'Suspense', 'Documental', 'Terror', 'Suspense']"
12 abr 2024,Menudas piezas (2024),"['Acción', 'Aventura', 'Crimen', 'Acción', 'Suspense', 'Pitobash', 'Aventura', 'Comedia', 'Fantasía', 'Comedia', 'Drama', 'Comedia', 'Drama', 'Drama', 'Suspense', 'Documental', 'Terror', 'Suspense']"
12 abr 2024,Víctima imperfecta (2023),"['Acción', 'Aventura', 'Crimen', 'Acción', 'Suspense', 'Pitobash', 'Aventura', 'Comedia', 'Fantasía', 'Comedia', 'Drama', 'Comedia', 'Drama', 'Drama', 'Suspense', 'Documental', 'Terror', 'Suspense']"
12 abr 2024,El salto (2024),"['Acción', 'Aventura', 'Crimen', 'Acción', 'Suspense', 'Pitobash', 'Aventura', 'Comedia', 'Fantasía', 'Comedia', 'Drama', 'Comedia', 'Drama', 'Drama', 'Suspense', 'Documental', 'Terror', 'Suspense']"
12 abr 2024,"Hispanoamérica, canto de vida y esperanza (2024)","['Acción', 'Aventura', 'Crimen', 'Acción', 'Suspense', 'Pitobash', 'Aventura', 'Comedia', 'Fantasía', 'Comedia', 'Drama', 'Comedia', 'Drama', 'Drama', 'Suspense', 'Documental', 'Terror', 'Suspense']"
12 abr 2024,Un día cualquiera (2024),"['Acción', 'Aventura', 'Crimen', 'Acción', 'Suspense', 'Pitobash', 'Aventura', 'Comedia', 'Fantasía', 'Comedia', 'Drama', 'Comedia', 'Drama', 'Drama', 'Suspense', 'Documental', 'Terror', 'Suspense']"
19 abr 2024,Civil War (2024),"['Acción', 'Aventura', 'Terror', 'Suspense', 'Acción', 'Suspense', 'Acción', 'Crimen', 'Suspense', 'Drama', 'Animación', 'Acción', 'Comedia', 'Biografía', 'Drama', 'Música', 'Animación', 'Comedia', 'Drama', 'Comedia', 'Drama']"
19 abr 2024,Arthur (2024),"['Acción', 'Aventura', 'Terror', 'Suspense', 'Acción', 'Suspense', 'Acción', 'Crimen', 'Suspense', 'Drama', 'Animación', 'Acción', 'Comedia', 'Biografía', 'Drama', 'Música', 'Animación', 'Comedia', 'Drama', 'Comedia', 'Drama']"
19 abr 2024,Abigail (2024),"['Acción', 'Aventura', 'Terror', 'Suspense', 'Acción', 'Suspense', 'Acción', 'Crimen', 'Suspense', 'Drama', 'Animación', 'Acción', 'Comedia', 'Biografía', 'Drama', 'Música', 'Animación', 'Comedia', 'Drama', 'Comedia', 'Drama']"
19 abr 2024,Land of Bad (2024),"['Acción', 'Aventura', 'Terror', 'Suspense', 'Acción', 'Suspense', 'Acción', 'Crimen', 'Suspense', 'Drama', 'Animación', 'Acción', 'Comedia', 'Biografía', 'Drama', 'Música', 'Animación', 'Comedia', 'Drama', 'Comedia', 'Drama']"
19 abr 2024,En tierra de santos y pecadores (2023),"['Acción', 'Aventura', 'Terror', 'Suspense', 'Acción', 'Suspense', 'Acción', 'Crimen', 'Suspense', 'Drama', 'Animación', 'Acción', 'Comedia', 'Biografía', 'Drama', 'Música', 'Animación', 'Comedia', 'Drama', 'Comedia', 'Drama']"
19 abr 2024,Sobre la hierba seca (2023),"['Acción', 'Aventura', 'Terror', 'Suspense', 'Acción', 'Suspense', 'Acción', 'Crimen', 'Suspense', 'Drama', 'Animación', 'Acción', 'Comedia', 'Biografía', 'Drama', 'Música', 'Animación', 'Comedia', 'Drama', 'Comedia', 'Drama']"
