Date,Title,Genres
05 abr 2024,Monkey Man (2024),"['Acción', 'Suspense', 'Pitobash', 'Terror', 'Drama', 'Comedia', 'Comedia']"
05 abr 2024,La primera profecía (2024),"['Acción', 'Suspense', 'Pitobash', 'Terror', 'Drama', 'Comedia', 'Comedia']"
05 abr 2024,Yo capitán (2023),"['Acción', 'Suspense', 'Pitobash', 'Terror', 'Drama', 'Comedia', 'Comedia']"
05 abr 2024,Seize Them! (2024),"['Acción', 'Suspense', 'Pitobash', 'Terror', 'Drama', 'Comedia', 'Comedia']"
05 abr 2024,The Trouble with Jessica (2023),"['Acción', 'Suspense', 'Pitobash', 'Terror', 'Drama', 'Comedia', 'Comedia']"
12 abr 2024,Civil War (2024),"['Acción', 'Biografía', 'Drama', 'Música', 'Acción', 'Terror', 'Suspense', 'Drama']"
12 abr 2024,Back to Black (2024),"['Acción', 'Biografía', 'Drama', 'Música', 'Acción', 'Terror', 'Suspense', 'Drama']"
12 abr 2024,Arcadian (2024),"['Acción', 'Biografía', 'Drama', 'Música', 'Acción', 'Terror', 'Suspense', 'Drama']"
12 abr 2024,Bleeding Love (2023),"['Acción', 'Biografía', 'Drama', 'Música', 'Acción', 'Terror', 'Suspense', 'Drama']"
16 abr 2024,John Singer Sargent: Fashion and Swagger (2024),['Documental']
19 abr 2024,Abigail (2024),"['Terror', 'Suspense', 'Aventura', 'Comedia', 'Drama', 'Biografía', 'Drama', 'Historia', 'Maïwenn', 'Comedia', 'Animación', 'Acción', 'Aventura', 'RuPaul', 'Animación', 'Aventura', 'Familiar', 'Documental']"
19 abr 2024,The Book of Clarence (2023),"['Terror', 'Suspense', 'Aventura', 'Comedia', 'Drama', 'Biografía', 'Drama', 'Historia', 'Maïwenn', 'Comedia', 'Animación', 'Acción', 'Aventura', 'RuPaul', 'Animación', 'Aventura', 'Familiar', 'Documental']"
19 abr 2024,Jeanne du Barry (2023),"['Terror', 'Suspense', 'Aventura', 'Comedia', 'Drama', 'Biografía', 'Drama', 'Historia', 'Maïwenn', 'Comedia', 'Animación', 'Acción', 'Aventura', 'RuPaul', 'Animación', 'Aventura', 'Familiar', 'Documental']"
19 abr 2024,Swede Caroline (2024),"['Terror', 'Suspense', 'Aventura', 'Comedia', 'Drama', 'Biografía', 'Drama', 'Historia', 'Maïwenn', 'Comedia', 'Animación', 'Acción', 'Aventura', 'RuPaul', 'Animación', 'Aventura', 'Familiar', 'Documental']"
19 abr 2024,Hitpig (2024),"['Terror', 'Suspense', 'Aventura', 'Comedia', 'Drama', 'Biografía', 'Drama', 'Historia', 'Maïwenn', 'Comedia', 'Animación', 'Acción', 'Aventura', 'RuPaul', 'Animación', 'Aventura', 'Familiar', 'Documental']"
19 abr 2024,Patrick (2023),"['Terror', 'Suspense', 'Aventura', 'Comedia', 'Drama', 'Biografía', 'Drama', 'Historia', 'Maïwenn', 'Comedia', 'Animación', 'Acción', 'Aventura', 'RuPaul', 'Animación', 'Aventura', 'Familiar', 'Documental']"
19 abr 2024,Much Ado About Dying (2022),"['Terror', 'Suspense', 'Aventura', 'Comedia', 'Drama', 'Biografía', 'Drama', 'Historia', 'Maïwenn', 'Comedia', 'Animación', 'Acción', 'Aventura', 'RuPaul', 'Animación', 'Aventura', 'Familiar', 'Documental']"
23 abr 2024,National Theatre Live: Nye (2024),"['Biografía', 'Comedia', 'Drama']"
26 abr 2024,Ordinary Angels (2024),"['Drama', 'Drama', 'Romance', 'Deporte', 'Zendaya', 'Comedia', 'Fantasía', 'Acción', 'Suspense', 'Suspense', 'Documental']"
26 abr 2024,Rivales (2024),"['Drama', 'Drama', 'Romance', 'Deporte', 'Zendaya', 'Comedia', 'Fantasía', 'Acción', 'Suspense', 'Suspense', 'Documental']"
26 abr 2024,The American Society of Magical Negroes (2024),"['Drama', 'Drama', 'Romance', 'Deporte', 'Zendaya', 'Comedia', 'Fantasía', 'Acción', 'Suspense', 'Suspense', 'Documental']"
26 abr 2024,Boy Kills World (2023),"['Drama', 'Drama', 'Romance', 'Deporte', 'Zendaya', 'Comedia', 'Fantasía', 'Acción', 'Suspense', 'Suspense', 'Documental']"
26 abr 2024,I.S.S. (2023),"['Drama', 'Drama', 'Romance', 'Deporte', 'Zendaya', 'Comedia', 'Fantasía', 'Acción', 'Suspense', 'Suspense', 'Documental']"
26 abr 2024,Quintessentially Irish (2024),"['Drama', 'Drama', 'Romance', 'Deporte', 'Zendaya', 'Comedia', 'Fantasía', 'Acción', 'Suspense', 'Suspense', 'Documental']"
02 may 2024,El especialista (2024),"['Acción', 'Comedia', 'Drama']"
03 may 2024,Sangre en los labios (2024),"['Acción', 'Aventura', 'Crimen', 'Terror', 'Suspense', 'Terror', 'Avantika', 'Documental']"
03 may 2024,Sting (2024),"['Acción', 'Aventura', 'Crimen', 'Terror', 'Suspense', 'Terror', 'Avantika', 'Documental']"
03 may 2024,Tarot (2024),"['Acción', 'Aventura', 'Crimen', 'Terror', 'Suspense', 'Terror', 'Avantika', 'Documental']"
03 may 2024,Red Herring (2023),"['Acción', 'Aventura', 'Crimen', 'Terror', 'Suspense', 'Terror', 'Avantika', 'Documental']"
