Date,Title,Genres
"Apr 04, 2024",Monkey Man (2024),"['Action', 'Thriller', 'Pitobash', 'Thriller', 'Drama', 'Mystery', 'Thriller', 'Comedy']"
"Apr 04, 2024",Tatami (2023),"['Action', 'Thriller', 'Pitobash', 'Thriller', 'Drama', 'Mystery', 'Thriller', 'Comedy']"
"Apr 04, 2024",Autobiography (2022),"['Action', 'Thriller', 'Pitobash', 'Thriller', 'Drama', 'Mystery', 'Thriller', 'Comedy']"
"Apr 04, 2024",Zamora (2024),"['Action', 'Thriller', 'Pitobash', 'Thriller', 'Drama', 'Mystery', 'Thriller', 'Comedy']"
"Apr 05, 2024",The First Omen (2024),['Horror']
"Apr 11, 2024",Ghostbusters: Frozen Empire (2024),"['Adventure', 'Comedy', 'Fantasy', 'Animation', 'Adventure', 'Comedy', 'Comedy', 'Romance', 'Comedy', 'Crime', 'Drama', 'Animation', 'Adventure', 'Musical', 'Drama', 'History', 'Drama', 'Drama', 'Comedy']"
"Apr 11, 2024",Soul (2020),"['Adventure', 'Comedy', 'Fantasy', 'Animation', 'Adventure', 'Comedy', 'Comedy', 'Romance', 'Comedy', 'Crime', 'Drama', 'Animation', 'Adventure', 'Musical', 'Drama', 'History', 'Drama', 'Drama', 'Comedy']"
"Apr 11, 2024",What Happens Later (2023),"['Adventure', 'Comedy', 'Fantasy', 'Animation', 'Adventure', 'Comedy', 'Comedy', 'Romance', 'Comedy', 'Crime', 'Drama', 'Animation', 'Adventure', 'Musical', 'Drama', 'History', 'Drama', 'Drama', 'Comedy']"
"Apr 11, 2024",The Delinquents (2023),"['Adventure', 'Comedy', 'Fantasy', 'Animation', 'Adventure', 'Comedy', 'Comedy', 'Romance', 'Comedy', 'Crime', 'Drama', 'Animation', 'Adventure', 'Musical', 'Drama', 'History', 'Drama', 'Drama', 'Comedy']"
"Apr 11, 2024",Noah's Ark (2024),"['Adventure', 'Comedy', 'Fantasy', 'Animation', 'Adventure', 'Comedy', 'Comedy', 'Romance', 'Comedy', 'Crime', 'Drama', 'Animation', 'Adventure', 'Musical', 'Drama', 'History', 'Drama', 'Drama', 'Comedy']"
"Apr 11, 2024",Gloria! (2024),"['Adventure', 'Comedy', 'Fantasy', 'Animation', 'Adventure', 'Comedy', 'Comedy', 'Romance', 'Comedy', 'Crime', 'Drama', 'Animation', 'Adventure', 'Musical', 'Drama', 'History', 'Drama', 'Drama', 'Comedy']"
