Movie,Calification,N.Reviews,Year,Duration,Rating
The Shawshank Redemption,9.3,2.9M,1994,2h 22m,R
The Godfather,9.2,2M,1972,2h 55m,R
The Dark Knight,9.0,2.9M,2008,2h 32m,PG-13
The Godfather Part II,9.0,1.4M,1974,3h 22m,R
12 Angry Men,9.0,861K,1957,1h 36m,Approved
Schindler's List,9.0,1.4M,1993,3h 15m,R
The Lord of the Rings: The Return of the King,9.0,2M,2003,3h 21m,PG-13
Pulp Fiction,8.9,2.2M,1994,2h 34m,R
The Lord of the Rings: The Fellowship of the Ring,8.9,2M,2001,2h 58m,PG-13
"The Good, the Bad and the Ugly",8.8,809K,1966,2h 58m,Approved
Forrest Gump,8.8,2.2M,1994,2h 22m,PG-13
The Lord of the Rings: The Two Towers,8.8,1.8M,2002,2h 59m,PG-13
Fight Club,8.8,2.3M,1999,2h 19m,R
Inception,8.8,2.5M,2010,2h 28m,PG-13
Dune: Part Two,8.8,301K,2024,2h 46m,PG-13
Star Wars: Episode V - The Empire Strikes Back,8.7,1.4M,1980,2h 4m,PG
The Matrix,8.7,2M,1999,2h 16m,R
Goodfellas,8.7,1.3M,1990,2h 25m,R
One Flew Over the Cuckoo's Nest,8.7,1.1M,1975,2h 13m,R
Se7en,8.6,1.8M,1995,2h 7m,R
Interstellar,8.7,2.1M,2014,2h 49m,PG-13
It's a Wonderful Life,8.6,498K,1946,2h 10m,PG
Seven Samurai,8.6,366K,1954,3h 27m,Not Rated
The Silence of the Lambs,8.6,1.5M,1991,1h 58m,R
Saving Private Ryan,8.6,1.5M,1998,2h 49m,R
City of God,8.6,799K,2002,2h 10m,R
Life Is Beautiful,8.6,741K,1997,1h 56m,PG-13
The Green Mile,8.6,1.4M,1999,3h 9m,R
Terminator 2: Judgment Day,8.6,1.2M,1991,2h 17m,R
Star Wars: Episode IV - A New Hope,8.6,1.4M,1977,2h 1m,PG
Back to the Future,8.5,1.3M,1985,1h 56m,PG
Spirited Away,8.6,846K,2001,2h 5m,PG
The Pianist,8.5,909K,2002,2h 30m,R
Parasite,8.5,952K,2019,2h 12m,R
Psycho,8.5,716K,1960,1h 49m,R
Spider-Man: Across the Spider-Verse,8.6,363K,2023,2h 20m,PG
Gladiator,8.5,1.6M,2000,2h 35m,R
