Title,Year,Duration,Calification,Rating
El moderno Sherlock Holmes,1924,45m,"8,2",A
El chico,1921,1h 8m,"8,2",A
El maquinista de La General,1926,1h 18m,"8,1",A
Antes del atardecer,2004,1h 20m,"8,1",13
Toy Story,1995,1h 21m,"8,3",A
Mi vecino Totoro,1988,1h 26m,"8,1",A
El gigante de hierro,1999,1h 26m,"8,1",A
Luces de la ciudad,1931,1h 27m,"8,5",A
Tiempos modernos,1936,1h 27m,"8,5",A
El rey león,1994,1h 28m,"8,5",A
Rashomon,1950,1h 28m,"8,2",13
Senderos de gloria,1957,1h 28m,"8,4",A
Cuenta conmigo,1986,1h 29m,"8,1",A
La tumba de las luciérnagas,1988,1h 29m,"8,5",13
Ladrón de bicicletas,1948,1h 29m,"8,3",A
Children of Heaven,1997,1h 29m,"8,2",13
Aladdín,1992,1h 30m,"8,0",A
Los caballeros de la mesa cuadrada y sus locos seguidores,1975,1h 31m,"8,2",A
Fresas salvajes,1957,1h 31m,"8,1",7
"Monstruos, S",2001,1h 32m,"8,1",A
Mary and Max,2009,1h 32m,"8,1",18
Trainspotting,1996,1h 33m,"8,1",A
Siempre a tu lado (Hachiko),2009,1h 33m,"8,1",A
Del revés (Inside Out),2015,1h 35m,"8,1",18
¿Teléfono rojo? Volamos hacia Moscú,1964,1h 35m,"8,4",A
La quimera del oro,1925,1h 35m,"8,1",A
12 hombres sin piedad,1957,1h 36m,"9,0",A
Up,2009,1h 36m,"8,3",13
El séptimo sello,1957,1h 36m,"8,1",7
Klaus,2019,1h 36m,"8,2",18
El padre,2020,1h 37m,"8,2",A
Fargo,1996,1h 38m,"8,1",18
Cómo entrenar a tu dragón,2010,1h 38m,"8,1",12
WALL·E,2008,1h 38m,"8,4",18
El odio,1995,1h 38m,"8,1",A
El gran hotel Budapest,2014,1h 39m,"8,1",A
Reservoir Dogs,1992,1h 39m,"8,3",T
Ser o no ser,1942,1h 39m,"8,1",T
Buscando a Nemo,2003,1h 40m,"8,2",18
Atrapado en el tiempo,1993,1h 41m,"8,0",A
Antes de amanecer,1995,1h 41m,"8,1",A
Réquiem por un sueño,2000,1h 42m,"8,3",A
Casablanca,1942,1h 42m,"8,5",A
El mago de Oz,1939,1h 42m,"8,1",A
El show de Truman,1998,1h 43m,"8,2",18
Cantando bajo la lluvia,1952,1h 43m,"8,3",A
Toy Story 3,2010,1h 43m,"8,3",A
