Movie,Calification,N.Reviews,Year,Duration,Rating
Cadena perpetua,9.3,2.9M,1994,142,13
El padrino,9.2,2M,1972,175,18
El caballero oscuro,9.0,2.9M,2008,152,13
El padrino parte II,9.0,1.4M,1974,202,18
12 hombres sin piedad,9.0,861K,1957,96,A
La lista de Schindler,9.0,1.4M,1993,195,13
El señor de los anillos: El retorno del rey,9.0,2M,2003,201,13
Pulp Fiction,8.9,2.2M,1994,154,18
El señor de los anillos: La comunidad del anillo,8.9,2M,2001,178,13
"El bueno, el feo y el malo",8.8,809K,1966,182,13
Forrest Gump,8.8,2.2M,1994,142,A
El señor de los anillos: Las dos torres,8.8,1.8M,2002,179,13
El club de la lucha,8.8,2.3M,1999,139,18
Origen,8.8,2.5M,2010,148,13
Dune: Parte dos,8.8,300K,2024,166,13
El imperio contraataca,8.7,1.4M,1980,124,A
Matrix,8.7,2M,1999,136,18
Uno de los nuestros,8.7,1.3M,1990,145,18
Alguien voló sobre el nido del cuco,8.7,1.1M,1975,133,18
Seven,8.6,1.8M,1995,127,18
Interstellar,8.7,2.1M,2014,169,13
¡Qué bello es vivir!,8.6,498K,1946,130,A
Los siete samuráis,8.6,366K,1954,207,A
El silencio de los corderos,8.6,1.5M,1991,118,18
Salvar al soldado Ryan,8.6,1.5M,1998,169,13
Ciudad de Dios,8.6,799K,2002,130,18
La vida es bella,8.6,741K,1997,116,A
La milla verde,8.6,1.4M,1999,189,13
Terminator 2: El juicio final,8.6,1.2M,1991,137,18
La guerra de las galaxias,8.6,1.4M,1977,121,A
Regreso al futuro,8.5,1.3M,1985,116,A
El viaje de Chihiro,8.6,846K,2001,125,A
El pianista,8.5,909K,2002,150,13
Parásitos,8.5,952K,2019,132,16
Psicosis,8.5,716K,1960,109,13
Spider-Man: Cruzando el multiverso,8.6,363K,2023,140,7
Gladiator (El gladiador),8.5,1.6M,2000,155,13
El rey león,8.5,1.1M,1994,88,A
El profesional (Léon),8.5,1.2M,1994,110,18
Infiltrados,8.5,1.4M,2006,151,18
American History X,8.5,1.2M,1998,119,13
Whiplash,8.5,984K,2014,106,13
El truco final (El prestigio),8.5,1.4M,2006,130,18
La tumba de las luciérnagas,8.5,309K,1988,89,13
Harakiri,8.6,68K,1962,133,13
Sospechosos habituales,8.5,1.1M,1995,106,18
Casablanca,8.5,605K,1942,102,A
Intocable,8.5,926K,2011,112,7
Cinema Paradiso,8.5,282K,1988,174,A
Tiempos modernos,8.5,259K,1936,87,A
La ventana indiscreta,8.5,521K,1954,112,A
Hasta que llegó su hora,8.5,348K,1968,166,13
"Alien, el octavo pasajero",8.5,947K,1979,117,16
Luces de la ciudad,8.5,196K,1931,87,A
Apocalypse Now,8.4,708K,1979,147,18
Django desencadenado,8.5,1.7M,2012,165,16
Memento,8.4,1.3M,2000,113,13
12th Fail,9.0,108K,2023,147,
WALL·E,8.4,1.2M,2008,98,A
En busca del arca perdida,8.4,1M,1981,115,A
La vida de los otros,8.4,409K,2006,137,7
El crepúsculo de los dioses,8.4,236K,1950,110,18
Senderos de gloria,8.4,212K,1957,88,A
Vengadores: Infinity War,8.4,1.2M,2018,149,13
Spider-Man: Un nuevo universo,8.4,667K,2018,117,7
Testigo de cargo,8.4,137K,1957,116,A
El resplandor,8.4,1.1M,1980,146,13
El gran dictador,8.4,237K,1940,125,A
Aliens: El regreso,8.4,761K,1986,137,13
Malditos bastardos,8.4,1.6M,2009,153,18
El caballero oscuro: La leyenda renace,8.4,1.8M,2012,164,13
¿Teléfono rojo? Volamos hacia Moscú,8.4,517K,1964,95,18
American Beauty,8.3,1.2M,1999,122,18
Old Boy,8.3,633K,2003,120,18
Coco,8.4,587K,2017,105,A
Amadeus,8.4,427K,1984,160,A
Toy Story,8.3,1.1M,1995,81,A
El submarino (Das Boot),8.4,264K,1981,149,13
Braveheart,8.3,1.1M,1995,178,18
Vengadores: Endgame,8.4,1.3M,2019,181,7
Joker,8.4,1.5M,2019,122,18
La princesa Mononoke,8.3,432K,1997,134,7
El indomable Will Hunting,8.3,1.1M,1997,126,A
